mechanism,x_key,x,seed_mean,ci95,honesty,honesty_ci95,seeds
no_reputation,period,2350.0,0.8988000000000004,0.009548944234835604,0.8988000000000004,0.009548944234835604,50
no_reputation,period,2400.0,0.9016000000000004,0.008971193008736361,0.9016000000000004,0.008971193008736361,50
no_reputation,period,2450.0,0.9038400000000003,0.008482356804567947,0.9038400000000003,0.008482356804567947,50
no_reputation,period,2500.0,0.9064000000000004,0.007785409944248287,0.9064000000000004,0.007785409944248287,50
no_reputation,period,2550.0,0.9097600000000002,0.0070450047664994565,0.9097600000000002,0.0070450047664994565,50
no_reputation,period,2600.0,0.9113600000000004,0.00665381810391598,0.9113600000000004,0.00665381810391598,50
no_reputation,period,2650.0,0.9128000000000004,0.007327231400740671,0.9128000000000004,0.007327231400740671,50
no_reputation,period,2700.0,0.9146400000000002,0.00690272637151438,0.9146400000000002,0.00690272637151438,50
no_reputation,period,2750.0,0.9168000000000005,0.006764651654002597,0.9168000000000005,0.006764651654002597,50
no_reputation,period,2800.0,0.9143200000000001,0.007005472420900684,0.9143200000000001,0.007005472420900684,50
no_reputation,period,2850.0,0.9167200000000004,0.007078860744498373,0.9167200000000004,0.007078860744498373,50
no_reputation,period,2900.0,0.9185600000000004,0.007428429023690009,0.9185600000000004,0.007428429023690009,50
no_reputation,period,2950.0,0.9197600000000006,0.00833451595235141,0.9197600000000006,0.00833451595235141,50
no_reputation,period,3000.0,0.9213600000000003,0.008659881717437031,0.9213600000000003,0.008659881717437031,50
no_reputation,period,3050.0,0.9256000000000004,0.008372327752781787,0.9256000000000004,0.008372327752781787,50
no_reputation,period,3100.0,0.9274400000000003,0.008544388905006615,0.9274400000000003,0.008544388905006615,50
no_reputation,period,3150.0,0.9286400000000004,0.00845094736464499,0.9286400000000004,0.00845094736464499,50
no_reputation,period,3200.0,0.9280800000000003,0.007571365678660627,0.9280800000000003,0.007571365678660627,50
no_reputation,period,3250.0,0.9268000000000001,0.007334931219854762,0.9268000000000001,0.007334931219854762,50
no_reputation,period,3300.0,0.9276000000000004,0.007221177743277069,0.9276000000000004,0.007221177743277069,50
no_reputation,period,3350.0,0.92848,0.007431400449444243,0.92848,0.007431400449444243,50
no_reputation,period,3400.0,0.9283200000000004,0.007075847641095734,0.9283200000000004,0.007075847641095734,50
no_reputation,period,3450.0,0.9301600000000001,0.00650067142378386,0.9301600000000001,0.00650067142378386,50
no_reputation,period,3500.0,0.9335200000000005,0.0068196504778470935,0.9335200000000005,0.0068196504778470935,50
no_reputation,period,3550.0,0.9359200000000003,0.0065017519362092005,0.9359200000000003,0.0065017519362092005,50
no_reputation,period,3600.0,0.9362400000000002,0.006869207535080017,0.9362400000000002,0.006869207535080017,50
no_reputation,period,3650.0,0.9392000000000005,0.006690066666334504,0.9392000000000005,0.006690066666334504,50
no_reputation,period,3700.0,0.9416800000000005,0.006519477574161911,0.9416800000000005,0.006519477574161911,50
